interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Big Data,data science,advanced,none,Hindi,Big Data advanced Hindi
Probability and Statistics,math,beginner,intermediate,English,Probability and Statistics beginner English
Thermodynamics,physics,beginner,none,Hindi,Thermodynamics beginner Hindi
C++,programming,beginner,basic,Hindi,C++ beginner Hindi
Probability and Statistics,math,intermediate,advanced,Hindi,Probability and Statistics intermediate Hindi
English Literature,literature,beginner,advanced,English,English Literature beginner English
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
Inorganic Chemistry,chemistry,advanced,basic,English,Inorganic Chemistry advanced English
English Literature,literature,advanced,advanced,Hindi,English Literature advanced Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
Deep Learning,machine learning,intermediate,none,Hindi,Deep Learning intermediate Hindi
Physical Chemistry,chemistry,advanced,advanced,Hindi,Physical Chemistry advanced Hindi
Ruby,programming,beginner,intermediate,Hindi,Ruby beginner Hindi
Machine Learning Basics,machine learning,advanced,basic,English,Machine Learning Basics advanced English
Analytical Chemistry,chemistry,beginner,none,Hindi,Analytical Chemistry beginner Hindi
C++,programming,intermediate,none,English,C++ intermediate English
Organic Chemistry,chemistry,beginner,none,English,Organic Chemistry beginner English
Thermodynamics,physics,intermediate,none,English,Thermodynamics intermediate English
World Wars,history,intermediate,basic,Hindi,World Wars intermediate Hindi
Data Mining,data science,advanced,advanced,English,Data Mining advanced English
American Literature,literature,beginner,advanced,English,American Literature beginner English
Physical Chemistry,chemistry,beginner,advanced,Hindi,Physical Chemistry beginner Hindi
English Literature,literature,intermediate,intermediate,English,English Literature intermediate English
C++,programming,advanced,advanced,English,C++ advanced English
PHP,programming,advanced,none,Hindi,PHP advanced Hindi
Natural Language Processing,machine learning,intermediate,none,English,Natural Language Processing intermediate English
Poetry,literature,beginner,none,English,Poetry beginner English
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
R,programming,intermediate,basic,Hindi,R intermediate Hindi
English Literature,literature,beginner,advanced,English,English Literature beginner English
Computer Vision,machine learning,beginner,basic,Hindi,Computer Vision beginner Hindi
Ancient History,history,intermediate,none,English,Ancient History intermediate English
C++,programming,intermediate,advanced,English,C++ intermediate English
Computer Vision,machine learning,beginner,none,Hindi,Computer Vision beginner Hindi
Inorganic Chemistry,chemistry,advanced,advanced,Hindi,Inorganic Chemistry advanced Hindi
Calculus,math,beginner,intermediate,English,Calculus beginner English
Drama,literature,beginner,intermediate,English,Drama beginner English
Physical Chemistry,chemistry,beginner,basic,Hindi,Physical Chemistry beginner Hindi
Algebra,math,intermediate,advanced,English,Algebra intermediate English
R,programming,advanced,none,Hindi,R advanced Hindi
Number Theory,math,advanced,basic,Hindi,Number Theory advanced Hindi
Ancient History,history,advanced,none,Hindi,Ancient History advanced Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
Java,programming,intermediate,none,English,Java intermediate English
Natural Language Processing,machine learning,advanced,basic,Hindi,Natural Language Processing advanced Hindi
Computer Vision,machine learning,intermediate,intermediate,English,Computer Vision intermediate English
Drama,literature,beginner,advanced,English,Drama beginner English
Modern History,history,beginner,intermediate,Hindi,Modern History beginner Hindi
Go,programming,advanced,basic,English,Go advanced English
Machine Learning Basics,machine learning,beginner,advanced,Hindi,Machine Learning Basics beginner Hindi
Calculus,math,advanced,basic,English,Calculus advanced English
Geometry,math,intermediate,advanced,Hindi,Geometry intermediate Hindi
Ancient History,history,intermediate,advanced,English,Ancient History intermediate English
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Python,programming,intermediate,basic,Hindi,Python intermediate Hindi
Mechanics,physics,intermediate,basic,Hindi,Mechanics intermediate Hindi
Geometry,math,advanced,intermediate,Hindi,Geometry advanced Hindi
Natural Language Processing,machine learning,advanced,none,English,Natural Language Processing advanced English
Medieval History,history,intermediate,intermediate,English,Medieval History intermediate English
Ancient History,history,advanced,intermediate,Hindi,Ancient History advanced Hindi
Organic Chemistry,chemistry,intermediate,basic,Hindi,Organic Chemistry intermediate Hindi
Modern History,history,beginner,advanced,English,Modern History beginner English
World Wars,history,beginner,none,English,World Wars beginner English
Data Analysis,data science,advanced,none,English,Data Analysis advanced English
Deep Learning,machine learning,intermediate,intermediate,Hindi,Deep Learning intermediate Hindi
Thermodynamics,physics,intermediate,intermediate,English,Thermodynamics intermediate English
C++,programming,beginner,basic,Hindi,C++ beginner Hindi
Calculus,math,beginner,none,English,Calculus beginner English
Big Data,data science,beginner,intermediate,Hindi,Big Data beginner Hindi
Go,programming,advanced,none,English,Go advanced English
C++,programming,advanced,none,Hindi,C++ advanced Hindi
American Literature,literature,advanced,basic,English,American Literature advanced English
World Wars,history,beginner,none,Hindi,World Wars beginner Hindi
Natural Language Processing,machine learning,intermediate,intermediate,Hindi,Natural Language Processing intermediate Hindi
Big Data,data science,advanced,advanced,Hindi,Big Data advanced Hindi
Physical Chemistry,chemistry,beginner,none,English,Physical Chemistry beginner English
Ruby,programming,advanced,intermediate,Hindi,Ruby advanced Hindi
Swift,programming,advanced,none,Hindi,Swift advanced Hindi
Inorganic Chemistry,chemistry,intermediate,intermediate,Hindi,Inorganic Chemistry intermediate Hindi
Data Analysis,data science,beginner,basic,Hindi,Data Analysis beginner Hindi
Swift,programming,beginner,basic,Hindi,Swift beginner Hindi
Thermodynamics,physics,beginner,basic,Hindi,Thermodynamics beginner Hindi
Modern Physics,physics,intermediate,none,English,Modern Physics intermediate English
Java,programming,advanced,advanced,English,Java advanced English
Data Mining,data science,beginner,basic,Hindi,Data Mining beginner Hindi
Mechanics,physics,intermediate,intermediate,English,Mechanics intermediate English
American Literature,literature,advanced,none,English,American Literature advanced English
Medieval History,history,intermediate,none,Hindi,Medieval History intermediate Hindi
Deep Learning,machine learning,intermediate,intermediate,Hindi,Deep Learning intermediate Hindi
Drama,literature,beginner,advanced,English,Drama beginner English
Ancient History,history,advanced,advanced,Hindi,Ancient History advanced Hindi
Modern Physics,physics,beginner,basic,Hindi,Modern Physics beginner Hindi
Ancient History,history,intermediate,advanced,English,Ancient History intermediate English
Java,programming,beginner,none,English,Java beginner English
Computer Vision,machine learning,intermediate,none,English,Computer Vision intermediate English
Analytical Chemistry,chemistry,intermediate,intermediate,Hindi,Analytical Chemistry intermediate Hindi
American Literature,literature,advanced,basic,Hindi,American Literature advanced Hindi
Data Analysis,data science,intermediate,basic,English,Data Analysis intermediate English
Poetry,literature,advanced,none,English,Poetry advanced English
Go,programming,beginner,basic,English,Go beginner English
World Literature,literature,advanced,advanced,English,World Literature advanced English
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Thermodynamics,physics,intermediate,intermediate,English,Thermodynamics intermediate English
Swift,programming,advanced,advanced,Hindi,Swift advanced Hindi
JavaScript,programming,intermediate,basic,Hindi,JavaScript intermediate Hindi
Analytical Chemistry,chemistry,advanced,intermediate,English,Analytical Chemistry advanced English
Drama,literature,intermediate,basic,English,Drama intermediate English
Mechanics,physics,intermediate,advanced,English,Mechanics intermediate English
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Electricity and Magnetism,physics,advanced,basic,Hindi,Electricity and Magnetism advanced Hindi
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Ancient History,history,advanced,advanced,Hindi,Ancient History advanced Hindi
Go,programming,intermediate,intermediate,Hindi,Go intermediate Hindi
English Literature,literature,beginner,intermediate,English,English Literature beginner English
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
Geometry,math,intermediate,intermediate,English,Geometry intermediate English
Medieval History,history,advanced,advanced,English,Medieval History advanced English
Probability and Statistics,math,beginner,intermediate,Hindi,Probability and Statistics beginner Hindi
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
